file, ra, dec, redshift,survey, dropped, continuum, classification, delta_BIC, outflow, fit_fail, hit_limit, nburst_file, error message
desiSp1d_23897-thru20220522-1752.fits, 239.1630652918907, 35.26498585954964, 0.26574051299700513, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
spec-2200-53875-0423.fits, 241.31593911660616, 17.707806361254622, 0.03158603236079216, sdss, 0, 1, 1, 8.514108550882725, 1, 0, 0, /Users/f007znp/Research/pro/trial4/SDSS_BOSS/out_/nbursts_sdss_02200_53875_00423.fits, 
desiSp1d_307-thru20210419-114.fits, 242.70265142511084, 54.59806181967281, 0.03271971762915209, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] No input spectrum found
desiSp1d_475-thru20210505-3132.fits, 243.86446113645889, 55.90976895908893, 0.12282116110603881, desi, 0, 1, 0, 9999, 0, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/nl_/nbursts_desi_475_20210505_3132.fits, 
spec-104561-60107-27021600705420974.fits, 247.67117906323108, 40.17326294036184, -0.003530137473717332, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
desiSp1d_24954-thru20220419-2668.fits, 247.9983091345514, 24.627844661771785, 0.04358326616865057, desi, 0, 1, 1, 232.58991298436013, 1, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/out_/nbursts_desi_24954_20220419_2668.fits, 
spec-015309-59312-7575040221.fits, 250.32678172943247, 39.96172698460942, -0.001215859898366034, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
spec-104553-60119-27021600671408771.fits, 252.7687120267958, 35.1019261369339, 0.001561986398883164, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
desiSp1d_24014-thru20220510-3736.fits, 276.12462612145464, 43.12871894454734, 0.09719154839964858, desi, 0, 1, 1, 946.2798853560039, 0, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/bl_/nbursts_desi_24014_20220510_3736.fits, 
spec-015063-59371-7575046877.fits, 318.8566705477667, 0.0998207404577202, -0.002956886775791645, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
spec-104646-59793-27021600086377242.fits, 322.4497771093452, -0.0439292295211262, -0.004136130213737488, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
desiSp1d_25533-thru20220609-3707.fits, 323.71606814154654, -1.0097623139914351, 0.21057503891756346, desi, 0, 1, 1, 134.11698620071502, 0, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/bl_/nbursts_desi_25533_20220609_3707.fits, 
desiSp1d_20861-thru20210617-4106.fits, 329.1710532910806, -4.77506247482063, 0.16894758777567814, desi, 0, 1, 0, 69.65934233815551, 1, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/out_/nbursts_desi_20861_20210617_4106.fits, 
spec-0736-52210-0419.fits, 333.55868185249324, 13.983547828146545, 0.09941284358501434, sdss, 0, 1, 1, 133.2277932826347, 1, 0, 0, /Users/f007znp/Research/pro/trial4/SDSS_BOSS/out_/nbursts_sdss_00736_52210_00419.fits, 
spec-015029-59168-6405235886.fits, 334.4945953540067, 0.3530310736309788, 0.2793693244457245, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
spec-104657-59820-27021600024562938.fits, 334.5060247721359, 0.1755455061002108, 0.792904794216156, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
desiSp1d_1307-thru20211024-1356.fits, 345.428117080874, 30.10046941214896, 0.12652533091795343, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] No input spectrum found
spec-104617-59878-27021600823058723.fits, 348.0765541127409, 5.358857674042938, -0.0034479741007089615, sdss, 0, 1, 0, 17.438867425830722, 0, 0, 0, /Users/f007znp/Research/pro/trial4/SDSS_BOSS/nl_/nbursts_sdss_104617_59878_27021600823058723.fits, 
